id,name,affiliation_as_published,roles,paper_count,paper_numbers,same_name_record_count,identity_review_required,source_urls,verification_levels,hilo_member,outreach_authorized,attendance_verified
person-0fb332e290e48935d806,"Khera, Adyaa",Purdue University,paper_author,1,3299,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-045c568126345a47b16c,"Naseri, Afrooz",University of Turku,paper_author,1,610,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-71bfe63ac1ce197c9c61,"Serifi, Agon",Disney Research,paper_author,1,4936,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-0524cb77659d9087e175,"Stilli, Agostino",University College London,paper_author,1,5082,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-bb41b124bb74e13ea23c,"Julius, Agung",Rensselaer Polytechnic Institute,paper_author,1,10,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-d540d03b9c337dfa1266,"Kotian, Ahaan",Indian Institute of Science,paper_author,1,2789,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-12089827bd6ef939fcbc,"Abubakar, Ahmad",Khalifa University,paper_author,1,3466,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-26c3ee1af74d111270ed,"Amine, Ahmad",University of Pennsylvania,paper_author,2,1478 | 3054,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-c3462f6493e90a72dcc7,"Alhassan, Ahmad Bala",Nazarbayev University,paper_author,1,1135,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-5fcb698db8caa9d6d636,"Farooq, Ahmad",University of Arkansas at Little Rock,paper_author,1,2880,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-c9c3ef62d00b0a0854ed,"Hammad, Ahmad",Technical University of Munich,paper_author,1,1358,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-ff8c50cff8ee32bf2dc0,"Yehia, Ahmad",The University of Texas at Austin,paper_author,1,3807,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-177584b5f8e88eed49a2,"Zarei, Ahmadreza",University of Turku,paper_author,1,2516,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-f7695458ca696caa3e4c,"Qureshi, Ahmed H.",Purdue University,paper_author,3,2753 | 2788 | 3097,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-60e6bc9ac8ee37d8054b,"Ahmed, Ahmed Nader",Khalifa University,paper_author,1,3451,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-16b91c8ef1c3e9e92e86,Ahmed Qureshi,Purdue University,workshop_speaker,0,,1,False,https://lafr-workshop.github.io/,workshop_primary,False,False,False
person-12766e050daf55e1232a,"Tekden, Ahmet",Chalmers University Of Technology,paper_author,1,5048,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-9bf26bdbab9b2b52b1b6,"Borghese, Aiden","University of Nevada, Reno",paper_author,1,3595,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-9493b3445048b11dd90e,"Xu, Aiden",EPFL,paper_author,1,1913,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
